country_name,country_code,Government Expenditure (IMF based on Mauro et al. (2015)),"GDP per capita, PPP (constant 2017 international $)"
Afghanistan,AFG,21.991904,1460.825751
Albania,ALB,31.922866,9150.518747
Algeria,DZA,34.155843,10717.784464
Angola,AGO,42.324461,7341.865199
Argentina,ARG,38.14186,22424.117729
Armenia,ARM,22.735825,9708.415397
Australia,AUS,34.86656,44128.727085
Austria,AUT,51.47672,52489.757211
Azerbaijan,AZE,26.041947,11914.994833
Bahrain,BHR,28.417326,47000.315334
Bangladesh,BGD,15.32731,2537.111198
Belarus,BLR,49.416896,14417.353531
Belgium,BEL,52.19044,48589.460052
Benin,BEN,25.021626,2685.130261
Bhutan,BTN,36.031194,6743.046532
Bolivia,BOL,34.34911,6085.386452
andHerzegovina,BIH,46.987695,10441.79632
Botswana,BWA,31.342909,14051.541255
Brazil,BRA,44.40182,13564.994199
Brunei,BRN,32.492131,71051.710789
Bulgaria,BGR,40.93576,16583.958784
BurkinaFaso,BFA,27.176245,1590.83027
Burundi,BDI,41.004735,815.908194
Cambodia,KHM,14.657078,2511.901023
Cameroon,CMR,16.26045,3064.124804
Canada,CAN,43.306,45888.476327
CapeVerde,CPV,35.305884,6018.107241
AfricanRepublic,CAF,14.658158,1082.686648
Chad,TCD,21.506683,1569.748832
Chile,CHL,21.010884,20346.740856
China,CHN,19.29201,6795.174012
Colombia,COL,32.26999,11161.513317
Comoros,COM,22.817426,2777.142236
Congo,COG,32.371152,4371.625272
CostaRica,CRI,18.50227,15989.331332
Coted'Ivoire,CIV,22.251955,3630.047645
Croatia,HRV,43.671795,25966.09694
Cyprus,CYP,44.56664,40053.413789
Czechia,CZE,42.127051,33956.245985
ofCongo,COD,26.08139,817.069598
Denmark,DNK,52.38736,53569.028024
DominicanRepublic,DOM,18.15945,11756.466622
Egypt,EGY,40.525028,9274.977054
EquatorialGuinea,GNQ,24.994162,36685.343353
Estonia,EST,34.999112,31121.119764
Eswatini,SWZ,40.004806,7167.543132
Ethiopia,ETH,21.379039,1008.135323
Fiji,FJI,30.536859,10573.616892
Finland,FIN,48.68212,48664.265707
France,FRA,55.31333,43127.212856
Gabon,GAB,21.235921,15334.723542
Gambia,GMB,22.033943,2137.857133
Georgia,GEO,29.000676,9109.897741
Germany,DEU,46.33598,47031.213789
Ghana,GHA,24.98532,3259.169903
Greece,GRC,52.40806,37687.433337
Guinea,GIN,17.16831,1856.26109
Guinea-Bissau,GNB,27.414844,1688.813687
Haiti,HTI,16.66352,2734.741354
Honduras,HND,26.803794,4914.323743
HongKong,HKG,14.586622,49043.948166
Hungary,HUN,54.77571,25477.949294
Iceland,ISL,44.86263,52827.010123
India,IND,31.25603,3661.955505
Indonesia,IDN,22.33806,7319.434386
Iran,IRN,21.790298,13324.907835
Iraq,IRQ,46.678844,7830.670682
Ireland,IRL,37.68241,60326.654155
Israel,ISR,52.30432,33666.143327
Italy,ITA,52.57716,45356.536719
Japan,JPN,35.87843,38582.322186
Jordan,JOR,39.998171,11399.965546
Kazakhstan,KAZ,24.365789,19500.478942
Kenya,KEN,28.743211,3221.252972
Kiribati,KIR,86.25968,2097.088492
Kuwait,KWT,30.531147,75580.933748
Kyrgyzstan,KGZ,31.613196,3857.653909
Laos,LAO,18.736725,4052.83832
Latvia,LVA,36.051982,25294.388725
Lebanon,LBN,47.58111,15605.563802
Lesotho,LSO,54.612612,2148.825439
Liberia,LBR,15.92993,1333.422223
Libya,LBY,35.46315,21857.132026
Lithuania,LTU,35.513404,25835.368016
Madagascar,MDG,19.803974,1639.882778
Malawi,MWI,41.469453,1181.077496
Malaysia,MYS,29.112157,19546.985917
Maldives,MDV,43.183156,16330.799783
Mali,MLI,24.903622,1985.623428
Mauritania,MRT,31.462581,5080.645869
Mauritius,MUS,26.827827,14909.170855
Mexico,MEX,25.1036,18462.840123
Moldova,MDA,43.141091,7845.669401
Mongolia,MNG,35.674851,6858.33057
Montenegro,MNE,43.908002,16248.335926
Morocco,MAR,33.176324,5687.227352
Mozambique,MOZ,28.762057,917.79524
Myanmar,MMR,18.527773,2388.44862
Namibia,NAM,26.429697,8735.713736
Nepal,NPL,15.806926,2380.970834
Netherlands,NLD,47.4709,52909.969757
NewZealand,NZL,32.38942,38687.84615
Nicaragua,NIC,33.61853,4600.536063
Niger,NER,23.740164,974.682178
Nigeria,NGA,26.320039,4288.270307
NorthMacedonia,MKD,32.413837,12379.370696
Norway,NOR,42.44458,64062.436914
Oman,OMN,35.897213,33192.274581
Pakistan,PAK,25.00634,3931.175785
Panama,PAN,26.76639,19125.628685
NewGuinea,PNG,30.287862,3119.175569
Paraguay,PRY,20.441757,9193.839912
Peru,PER,19.48441,8629.264533
Philippines,PHL,20.68863,5474.681327
Poland,POL,44.49921,21543.163701
Portugal,PRT,47.36421,32251.569098
Qatar,QAT,27.318639,92749.556658
Romania,ROU,38.94792,19833.967869
Russia,RUS,33.675861,23647.266506
Rwanda,RWA,23.595587,1287.048412
theGrenadines,VCT,30.635387,11881.821156
andPrincipe,STP,40.347735,3080.798742
SaudiArabia,SAU,32.917694,43865.920306
Senegal,SEN,28.093897,2754.192237
Serbia,SRB,46.110565,13846.282383
Seychelles,SYC,48.056949,21511.413162
SierraLeone,SLE,14.893394,1321.512851
Singapore,SGP,12.097736,74159.387384
Slovakia,SVK,31.751335,24127.884677
Slovenia,SVN,41.257537,34912.847179
SolomonIslands,SLB,46.079092,2220.379216
SouthAfrica,ZAF,30.82284,12402.04946
SouthKorea,KOR,23.26533,31569.931199
Spain,ESP,40.82029,39520.822266
SriLanka,LKA,28.621774,7865.368304
Sudan,SDN,26.330672,2905.681129
Suriname,SUR,24.406433,17284.627339
Sweden,SWE,52.70869,48557.384348
Switzerland,CHE,33.55743,65641.710608
Tajikistan,TJK,28.456527,2133.494009
Tanzania,TZA,24.28058,1848.985478
Thailand,THA,21.84766,13460.060559
Togo,TGO,22.52686,1513.161163
Tonga,TON,24.12631,5232.31671
andTobago,TTO,31.632943,28700.882994
Tunisia,TUN,31.810954,9388.021848
Turkey,TUR,39.18688,20009.688895
Tuvalu,TUV,81.119908,3365.695185
Uganda,UGA,19.863767,1668.988497
Ukraine,UKR,44.334233,12829.030648
ArabEmirates,ARE,15.554987,76620.315062
UnitedKingdom,GBR,46.10402,44138.520504
UnitedStates,USA,39.72843,55873.244741
Uruguay,URY,34.34122,16151.369532
Uzbekistan,UZB,30.714873,3901.05877
Vanuatu,VUT,22.625586,3017.516468
Vietnam,VNM,31.734004,4422.285373
Zambia,ZMB,25.943997,2619.72137
Zimbabwe,ZWE,9.886323,2307.484624
